@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R7-8,17-22-weka.filters.unsupervised.attribute.Remove-R16'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
8,5,None,None,East,None,8,1,6,3,6,2,18,6,1665,West
9,5,North,None,East,West,8,1,5,3,6,1,18,6,1664,East
10,5,North,None,East,West,8,1,4,3,6,2,18,7,1663,East
11,5,None,None,None,West,8,1,3,3,6,1,18,7,1662,East
10,5,North,None,East,West,8,1,3,3,6,1,18,6,1661,West
9,5,North,None,East,West,9,1,3,4,7,1,18,7,1660,West
8,5,None,None,East,None,8,1,3,5,8,1,18,6,1659,West
9,5,North,None,East,West,8,1,4,5,8,1,18,6,1658,East
10,5,North,None,East,West,9,1,5,5,8,1,18,7,1657,East
11,5,None,None,None,West,8,1,5,5,8,1,18,6,1656,East
10,5,North,None,East,West,9,1,5,5,7,1,18,7,1655,West
9,5,North,None,East,West,8,1,6,5,6,1,18,7,1654,West
8,5,None,None,East,None,7,1,6,4,6,2,18,7,1653,West
9,5,North,None,East,West,8,1,6,4,6,3,18,8,1652,East
10,5,North,None,East,West,9,1,6,5,6,2,18,7,1651,East
11,5,None,None,None,West,10,1,6,4,6,3,18,6,1650,East
10,5,North,None,East,West,9,1,6,4,6,2,18,7,1649,West
9,5,North,None,East,West,8,1,6,3,6,3,18,7,1648,West
8,5,None,None,East,None,7,1,6,2,6,3,18,6,1647,West
9,5,North,None,East,West,8,1,6,3,6,4,18,5,1646,East
10,5,North,None,East,West,7,1,7,3,6,3,18,6,1645,East
11,5,None,None,None,West,7,1,7,3,7,3,18,7,1644,East
10,5,North,None,East,West,7,1,6,3,6,3,18,7,1643,West
9,5,North,None,East,West,8,1,5,3,6,4,18,8,1642,West
8,5,None,None,East,None,9,1,4,3,6,4,18,9,1641,West
9,5,North,None,East,West,10,1,4,3,6,5,17,9,1640,East
10,5,North,None,East,West,10,1,4,2,6,5,18,9,1639,East
11,5,None,None,None,West,10,1,4,3,6,5,18,8,1638,East
10,5,North,None,East,West,11,1,4,2,6,5,18,7,1637,West
9,5,North,None,East,West,10,1,4,2,6,4,18,7,1636,West
8,5,None,None,East,None,10,1,4,2,6,5,18,7,1635,West
9,5,North,None,East,West,9,1,4,1,6,5,18,6,1634,East
10,5,North,None,East,West,8,1,4,1,6,5,18,5,1633,East
11,5,None,None,None,West,8,1,4,2,6,5,18,6,1632,East
10,5,North,None,East,West,9,1,4,2,6,5,18,7,1631,West
9,5,North,None,East,West,8,1,4,3,6,6,18,7,1630,West
9,6,North,South,East,None,8,1,4,2,6,5,18,7,1629,North
9,7,None,South,East,West,8,1,4,3,5,5,18,6,1728,North
8,7,None,None,East,West,9,1,5,3,5,5,18,6,1827,West
7,7,None,None,East,West,9,1,5,3,5,5,18,6,1926,West
6,7,North,South,East,West,9,1,6,3,4,5,18,6,2025,West
6,6,North,South,None,None,9,1,6,3,3,5,18,5,2124,South
6,5,North,South,None,West,8,1,6,2,3,6,18,6,2223,South
5,5,None,None,East,West,7,1,6,2,3,6,18,7,2322,West
4,5,None,None,East,West,7,1,6,3,3,6,18,8,2421,West
3,5,North,South,East,West,8,1,6,2,3,6,18,8,2520,West
3,6,North,South,None,None,9,1,6,2,4,1,18,7,2819,North
3,7,None,South,East,None,10,1,6,1,3,1,18,7,2918,North
4,7,North,None,East,West,10,1,6,2,4,1,18,8,3017,East
5,7,None,None,East,West,11,1,6,3,4,1,18,9,3116,East
6,7,North,South,East,West,12,1,7,3,4,1,18,9,3115,East
6,6,North,South,None,None,13,1,6,3,4,1,17,9,3114,South
6,5,North,South,None,West,12,1,6,2,4,2,17,9,3113,South
5,5,None,None,East,West,13,1,6,2,4,2,16,9,3112,West
4,5,None,None,East,West,13,2,6,2,4,3,15,9,3111,West
3,5,North,South,East,West,13,2,6,1,5,3,16,9,3110,West
3,4,North,South,None,None,13,3,6,2,6,3,16,9,3209,South
3,3,North,None,East,None,14,3,6,3,6,2,16,9,3208,South
4,3,None,South,East,West,13,3,6,2,6,1,16,9,3307,East
4,2,North,South,None,None,13,3,6,2,6,1,15,9,3406,South
4,1,North,None,None,West,13,4,6,2,6,2,15,9,3505,South
3,1,None,None,East,West,13,3,6,1,6,3,16,9,3604,West
2,1,None,None,East,West,13,2,6,1,7,3,16,9,3703,West
1,1,North,None,East,None,13,3,6,2,6,3,17,9,3802,West
1,2,North,South,None,None,13,4,6,3,5,3,17,9,3901,North
1,3,North,South,None,None,13,3,6,2,6,3,16,9,4000,North
