@relation 'pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Remove-R7-8,17-22'

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
1,18,None,South,East,None,5,9,11,3,17,6,25,13,0,Stop
1,17,North,South,None,None,5,10,10,3,16,6,25,13,-1,South
1,16,North,South,East,None,6,10,10,4,15,6,25,14,-2,South
2,16,None,South,East,West,5,10,11,4,16,6,25,14,-3,East
2,15,North,South,East,West,5,9,10,4,15,6,24,14,-4,South
2,14,North,None,East,West,6,9,10,3,14,6,25,14,-5,South
3,14,North,None,East,West,6,10,10,3,15,6,25,14,-6,East
4,14,North,None,East,West,5,10,11,3,15,6,24,14,-7,East
5,14,North,None,East,West,5,9,11,3,14,6,25,14,-8,East
6,14,North,None,East,West,6,9,11,3,14,7,24,14,-9,East
7,14,North,None,East,West,5,9,11,4,13,7,24,14,-10,East
8,14,North,South,East,West,6,9,10,4,13,7,24,14,-11,East
8,13,North,South,East,None,6,10,11,4,13,7,24,15,-12,South
8,12,North,South,East,West,6,9,11,3,13,6,25,15,-13,South
8,11,North,South,East,None,6,10,11,3,13,7,25,15,-14,South
8,10,North,South,East,None,5,10,11,4,13,7,25,14,-15,South
8,9,North,South,East,None,6,10,11,3,13,7,24,14,-16,South
8,8,North,South,East,None,6,10,11,3,13,7,25,14,-17,South
8,7,North,South,East,None,6,9,10,3,13,6,25,14,-18,South
8,6,North,South,East,West,6,9,9,3,13,6,24,14,-19,South
8,5,North,South,East,None,5,9,9,4,14,6,25,14,-20,South
9,5,North,South,East,West,4,9,9,4,15,6,25,14,-21,East
9,4,North,South,East,West,4,9,3,1,16,6,25,13,178,South
10,4,North,South,East,West,3,9,3,1,16,6,25,13,177,East
10,5,North,South,East,West,3,10,3,1,17,6,25,14,176,North
10,6,North,South,East,West,3,10,3,1,18,6,25,13,175,North
11,6,North,South,None,West,3,10,3,1,18,6,25,13,174,East
11,7,North,South,None,West,3,9,3,1,18,6,25,13,173,North
11,8,North,South,None,West,3,8,3,1,18,5,25,13,172,North
10,8,North,South,East,West,4,8,3,1,18,5,25,13,171,West
9,8,North,South,East,West,4,8,3,1,17,5,25,14,170,West
8,8,North,South,East,None,5,8,3,1,18,5,25,13,169,West
8,7,North,South,East,None,5,7,3,1,19,5,25,14,168,South
8,6,North,South,East,West,5,6,3,1,20,5,24,14,167,South
7,6,None,None,East,West,5,7,3,1,20,6,24,14,166,West
6,6,North,None,East,West,4,7,3,1,20,6,24,15,165,West
6,7,North,South,None,West,5,7,3,1,20,5,23,15,164,North
5,7,North,South,East,West,1,1,3,1,20,4,24,15,363,West
5,6,North,South,East,West,1,1,3,1,20,4,24,15,362,South
5,5,North,South,None,West,1,1,3,1,19,4,23,15,361,South
5,4,North,South,None,West,1,1,3,1,19,4,24,15,360,South
5,3,North,None,East,West,1,1,3,1,19,3,24,15,359,South
6,3,None,None,East,West,1,1,3,1,18,3,24,15,358,East
7,3,None,None,East,West,1,1,3,1,18,4,24,15,357,East
8,3,North,None,East,West,1,1,3,1,17,4,24,14,356,East
8,4,North,South,East,None,1,1,3,1,17,5,25,14,355,North
9,4,North,South,East,West,1,1,3,1,17,6,25,15,354,East
9,5,North,South,East,West,1,1,3,1,17,5,25,15,353,North
10,5,North,South,East,West,1,1,3,1,17,5,25,16,352,East
11,5,North,South,None,West,1,1,3,1,17,4,25,16,351,East
11,4,North,South,None,West,1,1,3,1,17,5,25,15,350,South
11,3,North,None,None,West,1,1,3,1,17,4,25,15,349,South
10,3,North,None,East,West,1,1,3,1,17,4,24,15,348,West
10,4,North,South,East,West,1,1,3,1,18,4,24,15,347,North
11,4,North,South,None,West,1,1,3,1,18,4,23,15,346,East
11,5,North,South,None,West,1,1,3,1,18,4,23,14,345,North
11,6,North,South,None,West,1,1,3,1,18,5,23,15,344,North
11,7,North,South,None,West,1,1,3,1,19,5,23,16,343,North
11,8,North,South,None,West,1,1,3,1,19,6,24,16,342,North
11,9,North,South,None,West,1,1,3,1,19,6,24,15,341,North
