@RELATION pacmanInformation
@ATTRIBUTE PacPosX NUMERIC
@ATTRIBUTE PacPosY NUMERIC
@ATTRIBUTE ActN {North, None}
@ATTRIBUTE ActSo {South, None}
@ATTRIBUTE ActE {East, None}
@ATTRIBUTE ActW {West, None}
@ATTRIBUTE ActS {Stop, None}
@ATTRIBUTE NumAgents NUMERIC
@ATTRIBUTE G1PosX NUMERIC
@ATTRIBUTE G1PosY NUMERIC
@ATTRIBUTE G2PosX NUMERIC
@ATTRIBUTE G2PosY NUMERIC
@ATTRIBUTE G3PosX NUMERIC
@ATTRIBUTE G3PosY NUMERIC
@ATTRIBUTE G4PosX NUMERIC
@ATTRIBUTE G4PosY NUMERIC
@ATTRIBUTE DistG1 NUMERIC
@ATTRIBUTE DistG2 NUMERIC
@ATTRIBUTE DistG3 NUMERIC
@ATTRIBUTE DistG4 NUMERIC
@ATTRIBUTE NumDots NUMERIC
@ATTRIBUTE DistDot NUMERIC
@ATTRIBUTE Score NUMERIC
@ATTRIBUTE NextScore NUMERIC
@ATTRIBUTE PacDir {North, South, East, West, Stop, None}
@DATA
13,1,North,None,None,West,Stop,4,3,3,10,5,11,5,18,9,12,7,6,12,91,1,396,495,East
13,2,North,South,None,None,Stop,4,3,3,11,5,10,5,18,8,11,5,6,12,90,1,495,594,North
13,3,North,South,East,West,Stop,4,3,3,10,5,10,6,18,9,10,5,6,11,89,1,594,693,North
13,4,North,South,None,None,Stop,4,3,4,10,6,10,6,18,9,10,5,5,10,88,1,693,792,North
13,5,North,South,East,None,Stop,4,3,3,10,6,10,6,18,9,12,4,4,9,87,1,792,891,North
13,6,North,South,None,None,Stop,4,3,4,10,7,9,6,18,9,12,4,4,7,86,1,891,990,North
13,7,North,South,East,West,Stop,4,3,3,9,7,9,5,17,9,14,4,6,7,85,1,990,1089,North
12,7,None,None,East,West,Stop,4,3,3,9,6,10,5,18,9,13,4,4,7,84,1,1089,1188,West
11,7,None,None,East,West,Stop,4,4,3,9,7,9,5,18,8,11,2,4,8,83,1,1188,1287,West
10,7,None,South,East,West,Stop,4,4,3,9,6,9,6,18,8,10,2,2,8,82,1,1287,1286,West
10,6,North,South,None,West,Stop,4,3,3,9,7,9,7,18,7,10,2,2,8,82,2,1286,1485,South
9,6,North,South,East,None,Stop,3,4,3,8,7,5,1,18,6,8,2,0,10,82,1,1485,1784,West
9,7,None,South,East,West,Stop,2,4,3,3,1,6,1,18,7,9,0,0,10,81,1,1784,1883,North
8,7,None,None,East,West,Stop,2,4,3,2,1,7,1,18,6,8,0,0,10,80,1,1883,1982,West
7,7,None,None,East,West,Stop,2,4,3,1,1,6,1,18,7,7,0,0,11,79,1,1982,2081,West
6,7,North,South,East,West,Stop,2,4,3,1,1,6,2,18,7,6,0,5,13,78,1,2081,2180,West
6,6,North,South,None,None,Stop,2,4,3,1,2,6,2,18,8,5,9,4,14,77,1,2180,2279,South
6,5,North,South,None,West,Stop,2,5,3,1,1,6,2,18,8,3,0,3,14,76,1,2279,2378,South
5,5,None,None,East,West,Stop,2,4,3,1,1,6,2,18,7,3,0,4,16,75,1,2378,2477,West
4,5,None,None,East,West,Stop,2,4,2,2,1,6,3,18,8,3,0,4,18,74,1,2477,2576,West
3,5,North,South,East,West,Stop,2,4,1,3,1,6,2,18,9,0,0,6,19,73,1,2576,2675,West
3,4,North,South,None,None,Stop,2,4,1,3,1,6,1,18,9,0,0,0,19,72,2,2675,2674,South
3,3,North,None,East,None,Stop,2,3,1,4,1,6,1,18,8,0,0,0,21,72,1,2674,2773,South
4,3,None,South,East,West,Stop,2,3,1,4,1,7,1,18,9,0,0,0,20,71,1,2773,2872,East
5,3,None,None,East,West,Stop,2,2,1,4,2,7,1,18,9,0,2,0,18,70,1,2872,2971,East
6,3,North,South,East,West,Stop,2,1,1,4,3,7,1,18,8,0,2,0,17,69,1,2971,2970,East
6,3,North,South,East,West,Stop,2,1,2,5,3,8,1,18,8,6,1,0,17,69,1,2970,3169,East
6,3,North,South,East,West,Stop,2,1,3,3,1,7,1,18,8,5,0,0,16,69,1,3169,3168,East
6,3,North,South,East,West,Stop,2,1,2,2,1,7,1,18,7,6,0,0,17,69,1,3168,3267,East
6,2,North,South,None,None,Stop,2,1,1,1,1,8,1,18,8,0,0,0,19,68,1,3267,3366,South
6,1,North,None,East,None,Stop,2,1,1,2,1,8,1,18,9,0,0,0,20,67,1,3366,3665,South
7,1,None,None,East,West,Stop,2,1,2,3,1,5,1,18,9,7,0,0,19,66,1,3665,3764,East
8,1,None,None,East,West,Stop,2,1,1,3,1,4,1,18,9,0,0,0,18,65,2,3764,3763,East
9,1,None,None,East,West,Stop,2,1,2,4,1,3,1,18,9,9,0,0,17,65,2,3763,3762,East
10,1,None,None,East,West,Stop,2,1,3,4,1,2,1,18,9,11,0,0,15,65,2,3762,3761,East
11,1,None,None,East,West,Stop,2,1,3,3,1,2,1,17,9,12,0,0,15,65,2,3761,3760,East
12,1,None,None,East,West,Stop,2,1,3,4,1,3,1,18,9,13,0,0,14,65,2,3760,3759,East
13,1,North,None,None,West,Stop,2,1,2,4,2,2,1,18,9,13,10,0,12,65,2,3759,3758,East
13,2,North,South,None,None,Stop,2,1,2,4,3,2,1,17,9,12,10,0,10,65,2,3758,3757,North
13,3,North,South,East,West,Stop,2,1,1,5,3,3,1,16,9,0,8,0,9,65,1,3757,3856,North
12,3,None,None,East,West,Stop,2,1,2,5,3,4,1,16,9,12,7,0,9,64,1,3856,3955,West
11,3,None,None,East,West,Stop,2,1,1,6,3,4,2,15,9,0,5,8,11,63,1,3955,4054,West
10,3,None,None,East,West,Stop,2,1,2,6,3,4,1,16,9,10,4,0,13,62,1,4054,4153,West
9,3,None,None,East,West,Stop,2,1,2,6,3,3,1,17,9,9,3,0,14,61,1,4153,4252,West
8,3,None,None,East,West,Stop,2,1,1,7,3,4,1,17,9,0,1,0,14,60,1,4252,4551,West
7,3,None,None,East,West,Stop,2,1,1,4,1,4,1,16,9,0,0,0,16,59,2,4551,4550,West
6,3,North,South,East,West,Stop,2,1,2,3,1,4,1,17,9,6,0,0,17,59,1,4550,4549,West
6,2,North,South,None,None,Stop,2,1,3,2,1,4,1,17,9,6,0,0,18,59,2,4549,4548,South
6,1,North,None,East,None,Stop,2,1,2,1,1,3,1,17,9,6,0,0,20,59,2,4548,4547,South
7,1,None,None,East,West,Stop,2,1,2,1,1,4,1,18,9,7,0,0,18,59,3,4547,4546,East
8,1,None,None,East,West,Stop,2,1,2,1,2,4,1,18,8,8,8,0,16,59,4,4546,4545,East
9,1,None,None,East,West,Stop,2,1,2,1,3,3,1,18,7,9,10,0,16,59,5,4545,4544,East
10,1,None,None,East,West,Stop,2,1,2,1,2,3,1,18,8,10,10,0,16,59,5,4544,4543,East
11,1,None,None,East,West,Stop,2,1,3,1,2,2,1,18,9,12,11,0,15,59,4,4543,4542,East
12,1,None,None,East,West,Stop,2,1,3,1,1,1,1,18,9,13,0,0,13,59,3,4542,4541,East
13,1,North,None,None,West,Stop,2,1,3,1,2,2,1,17,9,14,13,0,11,59,2,4541,4540,East
13,2,North,South,None,None,Stop,2,1,3,1,2,3,1,16,9,13,12,0,10,59,2,4540,4539,North
13,3,North,South,East,West,Stop,2,1,2,1,3,2,1,16,9,13,12,0,8,59,1,4539,4538,North
13,4,North,South,None,None,Stop,2,1,1,1,4,1,1,15,9,0,12,0,7,59,2,4538,4537,North
13,5,North,South,East,None,Stop,2,1,1,1,3,1,1,15,9,0,14,0,5,59,1,4537,4636,North
14,5,None,None,East,West,Stop,2,2,1,1,2,1,2,15,8,0,16,16,3,58,1,4636,4735,East
15,5,None,None,East,West,Stop,2,3,1,1,1,1,3,15,7,0,0,16,3,57,1,4735,4834,East
16,5,North,South,East,West,Stop,2,2,1,1,2,1,3,16,7,0,18,17,2,56,1,4834,5133,East
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,99,Stop
10,1,None,None,East,West,Stop,4,3,4,8,5,10,5,18,9,10,6,4,16,94,1,99,198,East
11,1,None,None,East,West,Stop,4,3,5,9,5,9,5,18,9,12,6,6,14,93,1,198,297,East
12,1,None,None,East,West,Stop,4,4,5,10,5,9,6,17,9,12,6,8,13,92,1,297,396,East
13,1,North,None,None,West,Stop,4,4,5,11,5,10,6,17,9,13,6,8,12,91,1,396,495,East
13,2,North,South,None,None,Stop,4,3,5,11,5,10,6,17,9,13,5,7,11,90,1,495,594,North
