@relation pacmanInformation-weka.filters.unsupervised.attribute.Remove-R24

@attribute PacPosX numeric
@attribute PacPosY numeric
@attribute ActN {North,None}
@attribute ActSo {South,None}
@attribute ActE {East,None}
@attribute ActW {West,None}
@attribute ActS {Stop,None}
@attribute NumAgents numeric
@attribute G1PosX numeric
@attribute G1PosY numeric
@attribute G2PosX numeric
@attribute G2PosY numeric
@attribute G3PosX numeric
@attribute G3PosY numeric
@attribute G4PosX numeric
@attribute G4PosY numeric
@attribute DistG1 numeric
@attribute DistG2 numeric
@attribute DistG3 numeric
@attribute DistG4 numeric
@attribute NumDots numeric
@attribute DistDot numeric
@attribute Score numeric
@attribute PacDir {North,South,East,West,Stop,None}

@data
9,6,North,South,East,None,Stop,2,6,7,4,1,4,3,18,9,4,0,8,11,82,1,1681,North
9,7,None,South,East,West,Stop,2,7,7,3,1,4,3,18,8,2,0,9,9,81,1,1780,North
8,7,None,None,East,West,Stop,2,6,7,4,1,4,2,18,7,2,0,9,11,80,1,1879,West
7,7,None,None,East,West,Stop,2,6,7,3,1,4,1,18,6,1,0,0,11,79,1,1978,West
6,7,North,South,East,West,Stop,1,1,1,2,1,4,2,18,7,0,0,7,12,78,1,2277,West
6,6,North,South,None,None,Stop,1,2,1,3,1,4,2,18,7,0,0,6,13,77,1,2376,South
6,5,North,South,None,West,Stop,1,2,1,2,1,4,1,18,7,0,0,0,15,76,1,2475,South
6,4,North,South,None,None,Stop,1,3,1,1,1,4,1,18,8,0,0,0,16,75,1,2574,South
6,3,North,South,East,West,Stop,1,3,1,1,2,3,1,18,8,0,6,0,18,74,1,2673,South
6,2,North,South,None,None,Stop,1,2,1,1,2,4,1,18,9,0,5,0,19,73,1,2772,South
6,1,North,None,East,None,Stop,1,3,1,1,2,4,1,18,9,0,6,0,19,72,1,2871,South
7,1,None,None,East,West,Stop,1,3,1,1,2,4,1,18,8,0,7,0,18,71,1,2970,East
8,1,None,None,East,West,Stop,1,2,1,1,1,4,1,18,8,0,0,0,17,70,2,3069,East
9,1,None,None,East,West,Stop,1,2,1,1,2,4,1,18,8,0,9,0,16,70,2,3068,East
10,1,None,None,East,West,Stop,1,2,1,1,2,3,1,18,8,0,10,0,15,70,2,3067,East
11,1,None,None,East,West,Stop,1,2,1,1,3,3,1,18,8,0,12,0,13,70,2,3066,East
12,1,None,None,East,West,Stop,1,3,1,1,3,4,1,18,7,0,13,0,11,70,2,3065,East
13,1,North,None,None,West,Stop,1,4,1,1,4,4,1,18,6,0,15,0,11,70,2,3064,East
13,2,North,South,None,None,Stop,1,3,1,1,3,3,1,18,7,0,13,0,10,70,2,3063,North
13,3,North,South,East,West,Stop,1,2,1,1,3,2,1,18,7,0,12,0,8,70,1,3062,North
13,4,North,South,None,None,Stop,1,2,1,1,2,1,1,18,6,0,14,0,7,70,2,3061,North
13,5,North,South,East,None,Stop,1,2,1,1,2,1,1,18,6,0,15,0,7,70,1,3060,North
14,5,None,None,East,West,Stop,1,3,1,1,3,1,2,18,7,0,15,16,7,69,1,3159,East
15,5,None,None,East,West,Stop,1,3,1,1,3,1,2,18,8,0,16,17,5,68,1,3258,East
16,5,North,South,East,West,Stop,1,3,1,1,4,1,2,18,7,0,16,18,5,67,1,3357,East
16,6,North,South,None,None,Stop,1,2,1,1,4,1,1,18,8,0,17,0,5,66,1,3456,North
16,7,None,South,None,West,Stop,1,3,1,1,5,2,1,18,9,0,17,0,4,65,1,3555,North
15,7,North,None,East,West,Stop,1,4,1,1,4,3,1,18,9,0,17,0,5,64,1,3654,West
15,8,North,South,None,None,Stop,1,4,2,1,5,4,1,18,9,17,17,0,3,63,1,3753,North
15,9,None,South,East,None,Stop,1,4,3,1,4,4,2,18,8,17,19,18,4,62,1,3852,North
9,1,None,None,East,West,Stop,4,3,3,8,5,11,5,18,9,8,5,6,17,95,1,0,Stop
10,1,None,None,East,West,Stop,4,3,4,9,5,10,5,18,9,10,5,4,16,94,1,99,East
11,1,None,None,East,West,Stop,4,3,3,9,5,10,6,18,9,10,6,6,14,93,1,198,East
12,1,None,None,East,West,Stop,4,3,4,9,6,9,6,17,9,12,8,8,12,92,1,297,East
13,1,North,None,None,West,Stop,4,3,4,10,6,10,6,16,9,13,8,8,11,91,1,396,East
13,2,North,South,None,None,Stop,4,3,3,9,6,10,5,16,9,11,8,6,11,90,1,495,North
13,3,North,South,East,West,Stop,4,3,3,9,5,9,5,17,9,10,6,6,10,89,1,594,North
13,4,North,South,None,None,Stop,4,3,4,9,5,9,6,17,9,10,5,6,10,88,1,693,North
13,5,North,South,East,None,Stop,4,3,5,9,6,10,6,18,9,10,5,4,8,87,1,792,North
13,6,North,South,None,None,Stop,4,4,5,9,7,10,5,18,8,10,5,4,8,86,1,891,North
13,7,North,South,East,West,Stop,4,5,5,8,7,11,5,18,9,10,5,4,6,85,1,990,North
12,7,None,None,East,West,Stop,4,6,5,8,7,11,5,18,8,8,4,3,6,84,1,1089,West
11,7,None,None,East,West,Stop,4,5,5,9,7,11,5,18,7,8,2,2,7,83,1,1188,West
10,7,None,South,East,West,Stop,4,5,5,9,7,10,5,18,7,7,1,2,9,82,1,1287,West
9,7,None,South,East,West,Stop,3,4,5,4,1,10,6,18,8,7,0,2,11,81,1,1586,West
9,6,North,South,East,None,Stop,3,5,5,4,1,10,6,18,9,5,0,1,12,81,2,1585,South
10,6,North,South,None,West,Stop,2,6,5,4,2,4,1,18,9,5,10,0,10,81,3,1784,East
10,5,North,None,East,West,Stop,2,6,5,4,3,4,1,18,8,4,8,0,11,81,2,1783,South
9,5,North,None,East,West,Stop,2,6,4,5,3,4,2,18,8,4,6,8,12,81,2,1782,West
8,5,None,None,East,None,Stop,2,6,5,6,3,4,1,18,8,2,4,0,14,81,2,1781,West
9,5,North,None,East,West,Stop,2,6,6,6,2,4,1,18,9,4,6,0,13,81,2,1780,East
9,6,North,South,East,None,Stop,2,6,5,6,3,4,2,18,9,4,6,9,12,81,2,1779,North
9,7,None,South,East,West,Stop,2,6,6,7,3,4,2,18,9,4,6,10,10,81,1,1778,North
8,7,None,None,East,West,Stop,2,6,7,6,3,4,2,18,8,2,6,9,12,80,1,1877,West
7,7,None,None,East,West,Stop,1,1,1,6,3,4,3,18,9,0,5,7,12,79,1,2176,West
6,7,North,South,East,West,Stop,1,1,2,5,3,5,3,18,8,10,5,5,13,78,1,2275,West
6,6,North,South,None,None,Stop,1,1,3,5,3,5,3,18,8,8,4,4,14,77,1,2374,South
6,5,North,South,None,West,Stop,1,1,2,5,3,5,3,18,8,8,3,3,14,76,1,2473,South
5,5,None,None,East,West,Stop,1,1,2,6,3,4,3,18,7,7,3,3,16,75,1,2572,West
4,5,None,None,East,West,Stop,1,1,3,5,3,4,3,18,8,5,3,2,18,74,1,2671,West
3,5,North,South,East,West,Stop,1,1,2,5,3,4,2,18,9,5,4,4,18,73,1,2770,West
3,4,North,South,None,None,Stop,1,1,3,4,3,4,3,17,9,3,2,2,18,72,2,2869,South
3,3,North,None,East,None,Stop,1,1,4,5,3,4,3,16,9,3,2,1,19,72,1,2868,South
4,3,None,South,East,West,Stop,1,1,5,3,1,6,1,16,9,5,0,0,18,71,1,3367,East
5,3,None,None,East,West,Stop,1,1,6,2,1,6,2,16,9,7,0,2,18,70,1,3466,East
6,3,North,South,East,West,Stop,1,1,5,1,1,6,1,17,9,7,0,0,18,69,1,3565,East
6,4,North,South,None,None,Stop,1,2,5,1,1,7,1,18,9,5,0,0,16,68,2,3664,North
6,5,North,South,None,West,Stop,1,3,5,1,2,6,1,17,9,3,8,0,14,68,3,3663,North
5,5,None,None,East,West,Stop,1,4,5,1,1,7,1,16,9,1,0,0,15,68,2,3662,West
4,5,None,None,East,West,Stop,1,2,1,2,1,7,1,16,9,0,0,0,16,68,2,3861,West
3,5,North,South,East,West,Stop,1,1,1,1,1,7,1,16,9,0,0,0,16,68,1,3860,West
3,6,North,South,None,None,Stop,1,2,1,1,2,6,1,15,9,0,6,0,14,67,1,3959,North
3,7,None,South,East,None,Stop,1,1,1,1,1,6,2,15,8,0,0,8,13,66,1,4058,North
4,7,North,None,East,West,Stop,1,2,1,1,1,6,3,15,8,0,0,6,13,65,1,4157,East
5,7,None,None,East,West,Stop,1,2,1,1,1,5,3,15,9,0,0,4,11,64,2,4256,East
6,7,North,South,East,West,Stop,1,3,1,1,2,4,3,15,8,0,10,6,11,64,1,4255,East
6,6,North,South,None,None,Stop,1,2,1,1,2,3,3,15,9,0,9,6,13,64,2,4254,South
6,5,North,South,None,West,Stop,1,2,1,1,1,3,3,16,9,0,0,5,13,64,3,4253,South
5,5,None,None,East,West,Stop,1,1,1,1,1,4,3,15,9,0,0,3,14,64,3,4252,West
4,5,None,None,East,West,Stop,1,1,1,1,1,3,3,15,9,0,0,3,16,64,2,4251,West
3,5,North,South,East,West,Stop,1,1,2,2,1,4,3,16,9,5,0,3,18,64,1,4250,West
3,4,North,South,None,None,Stop,1,1,2,1,1,4,2,17,9,4,0,3,18,64,2,4249,South
3,3,North,None,East,None,Stop,1,1,2,2,1,4,3,16,9,3,0,1,19,64,2,4248,South
4,3,None,South,East,West,Stop,1,1,1,1,1,6,1,16,9,0,0,0,18,64,1,4447,East
5,3,None,None,East,West,Stop,1,1,2,1,1,7,1,16,9,5,0,0,18,64,2,4446,East
6,3,North,South,East,West,Stop,1,1,2,1,1,7,1,17,9,6,0,0,18,64,1,4445,East
6,2,North,South,None,None,Stop,1,1,3,2,1,8,1,18,9,6,0,0,19,63,1,4544,South
6,1,North,None,East,None,Stop,1,1,4,2,1,9,1,18,9,8,0,0,19,62,1,4643,South
7,1,None,None,East,West,Stop,1,1,5,1,1,10,1,17,9,10,0,0,17,61,1,4742,East
8,1,None,None,East,West,Stop,1,1,4,1,2,9,1,16,9,10,8,0,16,60,2,4841,East
9,1,None,None,East,West,Stop,1,1,5,1,2,6,1,16,9,12,9,0,14,60,2,5040,East
